epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,119.285,2.17902,5.26718,0.89785,0.30572,0.2272,0.16954,0.09408,1.9919,1.82355,0.85213,0.000302327,0.000302327,0.000302327
2,236.135,2.02969,2.92641,0.85067,0.41039,0.27841,0.25152,0.13942,1.83701,1.53823,0.84217,0.000599334,0.000599334,0.000599334
3,351.277,1.93495,2.11901,0.8533,0.52602,0.29868,0.29018,0.15729,1.86181,1.4149,0.84444,0.000890342,0.000890342,0.000890342
4,465.963,1.90412,1.76272,0.84418,0.53391,0.33945,0.32486,0.18183,1.80398,1.3311,0.83135,0.000882003,0.000882003,0.000882003
5,581.308,1.86662,1.59708,0.83456,0.52843,0.33313,0.33775,0.19228,1.75297,1.31507,0.83098,0.000873004,0.000873004,0.000873004
6,696.638,1.79991,1.43441,0.83038,0.54583,0.34354,0.36276,0.20645,1.73295,1.31198,0.81964,0.000864004,0.000864004,0.000864004
7,812.125,1.83635,1.43225,0.82635,0.60819,0.36576,0.36915,0.21278,1.71387,1.24761,0.81795,0.000855005,0.000855005,0.000855005
8,927.369,1.79849,1.3491,0.82699,0.63545,0.36644,0.37129,0.2133,1.69217,1.18535,0.82364,0.000846006,0.000846006,0.000846006
9,1044.81,1.74342,1.32091,0.82068,0.58686,0.35668,0.38482,0.22958,1.64183,1.16557,0.81625,0.000837007,0.000837007,0.000837007
10,1162.92,1.74577,1.28193,0.82073,0.61601,0.37434,0.40253,0.23148,1.70526,1.14194,0.81963,0.000828008,0.000828008,0.000828008
11,1280.98,1.71367,1.25402,0.81646,0.62673,0.35987,0.40043,0.22568,1.71536,1.19118,0.82417,0.000819009,0.000819009,0.000819009
12,1404.38,1.73999,1.20693,0.82072,0.63809,0.389,0.42547,0.25186,1.63426,1.07216,0.81323,0.00081001,0.00081001,0.00081001
13,1546.36,1.69135,1.18407,0.81671,0.60208,0.42681,0.4372,0.25435,1.60697,1.07911,0.81356,0.000801011,0.000801011,0.000801011
14,1794.25,1.68602,1.17503,0.815,0.65295,0.41576,0.44493,0.25325,1.64233,1.04943,0.81413,0.000792012,0.000792012,0.000792012
15,1916.68,1.67124,1.14867,0.81055,0.6072,0.42351,0.43928,0.25153,1.65147,1.08067,0.82199,0.000783013,0.000783013,0.000783013
16,2040.38,1.67094,1.13989,0.81089,0.67017,0.41159,0.44405,0.2546,1.62086,1.03393,0.81313,0.000774013,0.000774013,0.000774013
17,2167.64,1.65333,1.11457,0.80504,0.62577,0.42917,0.44864,0.26117,1.58535,1.03606,0.80963,0.000765014,0.000765014,0.000765014
18,2295.46,1.66317,1.10245,0.80831,0.71498,0.42756,0.47039,0.27486,1.56127,0.98989,0.80745,0.000756015,0.000756015,0.000756015
19,118.47,2.02682,1.49353,0.97697,0.6641,0.41214,0.45584,0.26353,1.67841,1.06926,0.81669,0.000747016,0.000747016,0.000747016
20,235.218,1.71222,1.13982,0.81096,0.70904,0.42768,0.46606,0.26787,1.61905,1.03248,0.81276,0.000738017,0.000738017,0.000738017
21,350.551,1.63591,1.06831,0.81295,0.69808,0.43142,0.48606,0.28019,1.58851,0.98623,0.81167,0.000729018,0.000729018,0.000729018
22,463.814,1.61573,1.06094,0.8081,0.67621,0.42489,0.46997,0.27872,1.55822,0.99982,0.80417,0.000720019,0.000720019,0.000720019
23,577.947,1.6115,1.05561,0.80724,0.68465,0.44383,0.47062,0.28831,1.54331,0.98927,0.80487,0.00071102,0.00071102,0.00071102
24,694.731,1.57873,1.00871,0.80415,0.69662,0.44651,0.48902,0.28885,1.52464,0.96161,0.80056,0.000702021,0.000702021,0.000702021
25,812.01,1.61482,1.02779,0.79834,0.68428,0.43487,0.47587,0.27956,1.53501,0.99555,0.80515,0.000693022,0.000693022,0.000693022
26,927.356,1.58924,1.00333,0.80062,0.70369,0.46551,0.49537,0.2971,1.52364,0.94089,0.80057,0.000684022,0.000684022,0.000684022
27,1044.53,1.55733,0.99433,0.7968,0.65887,0.45301,0.47877,0.28762,1.51594,0.95019,0.79869,0.000675023,0.000675023,0.000675023
28,1161.72,1.56766,0.98819,0.79752,0.71742,0.45919,0.49965,0.29867,1.50574,0.96859,0.80088,0.000666024,0.000666024,0.000666024
29,1277.77,1.54203,0.96766,0.79807,0.73485,0.46308,0.50684,0.2971,1.53298,0.91896,0.80208,0.000657025,0.000657025,0.000657025
30,1395.16,1.56033,0.94329,0.797,0.71007,0.46326,0.50286,0.30024,1.51433,0.94015,0.80374,0.000648026,0.000648026,0.000648026
31,1511.87,1.5355,0.94806,0.79879,0.70475,0.46681,0.49536,0.29449,1.50752,0.94422,0.803,0.000639027,0.000639027,0.000639027
32,1628.98,1.53294,0.93232,0.79564,0.75875,0.46562,0.51284,0.30681,1.50569,0.89861,0.80219,0.000630028,0.000630028,0.000630028
33,1746.25,1.53129,0.92903,0.79291,0.75047,0.46689,0.51237,0.30766,1.49583,0.88799,0.80133,0.000621029,0.000621029,0.000621029
34,1862.63,1.52151,0.92419,0.79509,0.72259,0.46796,0.49962,0.2968,1.49679,0.88765,0.80018,0.00061203,0.00061203,0.00061203
35,1980.18,1.5122,0.90296,0.78967,0.7014,0.4805,0.50522,0.30484,1.48799,0.87552,0.80119,0.000603031,0.000603031,0.000603031
